,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
Gnai3,1417.50074005373,0.0288198530660959,0.0828140699670976,0.348006722499524,0.727835134871435,0.0969559542738388,#BEBEBEB2
Cdc45,70.5093668271107,-0.0746562829440668,0.19825189054215,-0.376572867678124,0.706491054329044,0.0966734484277693,#BEBEBEB2
H19,544.961252347056,-0.0238040940863316,0.787914074567392,-0.0302115355654756,0.975898348680931,0.0999024929120249,#BEBEBEB2
Apoh,24.175117908349,-0.0695959940819075,0.361649763485131,-0.192440314107295,0.847397316400365,0.0982881766115034,#BEBEBEB2
Narf,1099.39594117778,-0.0277176294854276,0.0671904227476487,-0.412523516774533,0.679955747465664,0.0963678528231009,#BEBEBEB2
Cav2,1588.7767788705,-0.00128455244347588,0.0807668342852638,-0.0159044545306668,0.987310616251055,0.0999146064048841,#BEBEBEB2
Klf6,1553.06522846912,0.103045376439882,0.0839994981013307,1.22673800164349,0.219921079745159,0.0840309100198647,#BEBEBEB2
Scmh1,656.231942915845,-0.109607624312702,0.0751989463636142,-1.45756861781958,0.144959484963346,0.0772897686258117,#BEBEBEB2
Cox5a,1251.62452300481,0.0131892248995918,0.0609341187671463,0.216450572625709,0.828636549192448,0.0981364862382501,#BEBEBEB2
Tbx2,1163.8910498591,0.0437049513704872,0.0891095004945674,0.49046343126064,0.623806000651924,0.0955640328610305,#BEBEBEB2
Ngfr,13769.7907849981,-0.142133514420321,0.0831271386416336,-1.70983287459307,0.0872967820049463,0.0704236737449609,#BEBEBEB2
Wnt9a,210.463211541035,-0.0147121078024194,0.172034522263092,-0.0855183460208072,0.931849310883494,0.0994850289215016,#BEBEBEB2
Fer,403.081209548735,-0.00410554493884341,0.0856029991251957,-0.0479602932233599,0.961747887586679,0.0998257927133029,#BEBEBEB2
Xpo6,2015.39703886378,-0.0173992689704069,0.0576652738679032,-0.301728714759326,0.762858876656348,0.0975947983071838,#BEBEBEB2
Tfe3,1051.11174104104,0.0944409453186776,0.0884911345990883,1.06723623498043,0.285865173926036,0.0873844450823116,#BEBEBEB2
Axin2,230.323282415499,0.070332845551677,0.142273170347469,0.494350729514957,0.621058504012529,0.0955481334185828,#BEBEBEB2
Brat1,529.393203448735,-0.0434985307868673,0.0948626310632071,-0.458542318501415,0.646562866470994,0.0959362521354996,#BEBEBEB2
Gna12,2852.63398178892,0.0984274460943187,0.0598531051305507,1.64448353814944,0.100076361929438,0.0721026578912044,#BEBEBEB2
Slc22a18,180.960693143098,0.21787124958068,0.166631600510934,1.30750259202116,0.191042075177866,0.0814235678195464,#BEBEBEB2
Dlat,3036.22842297136,-0.051885016502081,0.0393622037625633,-1.31814307997226,0.187455755547612,0.0812461218816125,#BEBEBEB2
Sdhd,1912.47661693476,-0.0259673930910433,0.057341647000897,-0.452853980469676,0.650653890436567,0.0959936996010944,#BEBEBEB2
Ccnd2,292.391973007329,-0.048131667277708,0.150607676666716,-0.319583093923028,0.74928439188602,0.0973864966579019,#BEBEBEB2
Gpr107,1806.90362168057,-0.0617851812253342,0.0555891332519663,-1.11146149635547,0.26636975463282,0.086654146033053,#BEBEBEB2
